"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1077","keepsAnAuthenticatedUserAwayFromTheLoginPage()","","Fri Sep 25 10:56:10 UTC 2026","passed","Fri Sep 25 10:56:11 UTC 2026","","com.coinpulse.selenium.regression.AuthGuardTest","com.coinpulse.selenium.regression.AuthGuardTest","keepsAnAuthenticatedUserAwayFromTheLoginPage"
"","1946","uiStarRemovalIsPersistedByTheWatchlistApi()","","Fri Sep 25 10:55:30 UTC 2026","passed","Fri Sep 25 10:55:32 UTC 2026","","com.coinpulse.selenium.hybrid.HybridWatchlistApiUiTest","com.coinpulse.selenium.hybrid.HybridWatchlistApiUiTest","uiStarRemovalIsPersistedByTheWatchlistApi"
"","2587","uiRecordedBuyTradeLandsInTheTransactionsApi()","","Fri Sep 25 10:55:32 UTC 2026","passed","Fri Sep 25 10:55:35 UTC 2026","","com.coinpulse.selenium.hybrid.HybridTradeApiUiTest","com.coinpulse.selenium.hybrid.HybridTradeApiUiTest","uiRecordedBuyTradeLandsInTheTransactionsApi"
"","1804","showsOnlyDelistedCoinsWhenFilteredByDelistedStatus()","","Fri Sep 25 10:55:39 UTC 2026","passed","Fri Sep 25 10:55:41 UTC 2026","","com.coinpulse.selenium.regression.MarketsFilteringTest","com.coinpulse.selenium.regression.MarketsFilteringTest","showsOnlyDelistedCoinsWhenFilteredByDelistedStatus"
"","1131","rendersTheNewCoinFormShell()","","Fri Sep 25 10:55:24 UTC 2026","passed","Fri Sep 25 10:55:25 UTC 2026","","com.coinpulse.selenium.smoke.CoinFormSmokeTest","com.coinpulse.selenium.smoke.CoinFormSmokeTest","rendersTheNewCoinFormShell"
"","1710","showsTheEmptyStateWhenNoCoinMatches()","","Fri Sep 25 10:55:48 UTC 2026","passed","Fri Sep 25 10:55:50 UTC 2026","","com.coinpulse.selenium.regression.MarketsSearchTest","com.coinpulse.selenium.regression.MarketsSearchTest","showsTheEmptyStateWhenNoCoinMatches"
"","1756","showsOnlyActiveCoinsWhenFilteredByActiveStatus()","","Fri Sep 25 10:55:41 UTC 2026","passed","Fri Sep 25 10:55:43 UTC 2026","","com.coinpulse.selenium.regression.MarketsFilteringTest","com.coinpulse.selenium.regression.MarketsFilteringTest","showsOnlyActiveCoinsWhenFilteredByActiveStatus"
"","1109","returnsToTheOriginallyRequestedPageAfterSigningIn()","","Fri Sep 25 10:56:13 UTC 2026","passed","Fri Sep 25 10:56:14 UTC 2026","","com.coinpulse.selenium.regression.AuthGuardTest","com.coinpulse.selenium.regression.AuthGuardTest","returnsToTheOriginallyRequestedPageAfterSigningIn"
"","833","redirectsAnUnauthenticatedVisitorFromAProtectedPageToTheLogin()","","Fri Sep 25 10:56:12 UTC 2026","passed","Fri Sep 25 10:56:13 UTC 2026","","com.coinpulse.selenium.regression.AuthGuardTest","com.coinpulse.selenium.regression.AuthGuardTest","redirectsAnUnauthenticatedVisitorFromAProtectedPageToTheLogin"
"","1817","uiDeletedCoinIsGoneFromTheMarketsTableAndTheApi()","","Fri Sep 25 10:55:28 UTC 2026","passed","Fri Sep 25 10:55:30 UTC 2026","","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","uiDeletedCoinIsGoneFromTheMarketsTableAndTheApi"
"","1183","hidesAdminControlsForAStandardUser()","","Fri Sep 25 10:56:20 UTC 2026","passed","Fri Sep 25 10:56:21 UTC 2026","","com.coinpulse.selenium.regression.MarketsAdminTest","com.coinpulse.selenium.regression.MarketsAdminTest","hidesAdminControlsForAStandardUser"
"","1301","locksTheAppAgainAfterLoggingOut()","","Fri Sep 25 10:56:11 UTC 2026","passed","Fri Sep 25 10:56:12 UTC 2026","","com.coinpulse.selenium.regression.AuthGuardTest","com.coinpulse.selenium.regression.AuthGuardTest","locksTheAppAgainAfterLoggingOut"
"","1290","apiSeededTransactionRaisesTheDashboardTransactionCount()","","Fri Sep 25 10:55:35 UTC 2026","passed","Fri Sep 25 10:55:36 UTC 2026","","com.coinpulse.selenium.hybrid.HybridTradeApiUiTest","com.coinpulse.selenium.hybrid.HybridTradeApiUiTest","apiSeededTransactionRaisesTheDashboardTransactionCount"
"","1537","showsSeededMetricsForTheComparedCoinsInTheOverviewTable()","","Fri Sep 25 10:56:14 UTC 2026","passed","Fri Sep 25 10:56:16 UTC 2026","","com.coinpulse.selenium.regression.CompareResultsTest","com.coinpulse.selenium.regression.CompareResultsTest","showsSeededMetricsForTheComparedCoinsInTheOverviewTable"
"","1223","rendersTheMarketsTableSearchAndFilters()","","Fri Sep 25 10:55:17 UTC 2026","passed","Fri Sep 25 10:55:18 UTC 2026","","com.coinpulse.selenium.smoke.MarketsSmokeTest","com.coinpulse.selenium.smoke.MarketsSmokeTest","rendersTheMarketsTableSearchAndFilters"
"","1232","showsRequiredFieldErrorsWhenSubmittingAnEmptyForm()","","Fri Sep 25 10:56:04 UTC 2026","passed","Fri Sep 25 10:56:05 UTC 2026","","com.coinpulse.selenium.regression.TradeValidationTest","com.coinpulse.selenium.regression.TradeValidationTest","showsRequiredFieldErrorsWhenSubmittingAnEmptyForm"
"","1249","showsRequiredFieldErrorsWhenSubmittingAnEmptyForm()","","Fri Sep 25 10:55:43 UTC 2026","passed","Fri Sep 25 10:55:44 UTC 2026","","com.coinpulse.selenium.regression.CoinFormValidationTest","com.coinpulse.selenium.regression.CoinFormValidationTest","showsRequiredFieldErrorsWhenSubmittingAnEmptyForm"
"","1193","rendersTheCompareBuilderShell()","","Fri Sep 25 10:55:23 UTC 2026","passed","Fri Sep 25 10:55:24 UTC 2026","","com.coinpulse.selenium.smoke.CompareSmokeTest","com.coinpulse.selenium.smoke.CompareSmokeTest","rendersTheCompareBuilderShell"
"","4369","rendersTheTradeForm()","","Fri Sep 25 10:55:09 UTC 2026","passed","Fri Sep 25 10:55:14 UTC 2026","","com.coinpulse.selenium.smoke.TradeSmokeTest","com.coinpulse.selenium.smoke.TradeSmokeTest","rendersTheTradeForm"
"","2104","createsACoinAndListsItInTheMarketsTable()","","Fri Sep 25 10:55:37 UTC 2026","passed","Fri Sep 25 10:55:39 UTC 2026","","com.coinpulse.selenium.regression.CoinFormCreateTest","com.coinpulse.selenium.regression.CoinFormCreateTest","createsACoinAndListsItInTheMarketsTable"
"","1137","listsCoinsByRankAscendingByDefaultWithBtcFirst()","","Fri Sep 25 10:55:57 UTC 2026","passed","Fri Sep 25 10:55:58 UTC 2026","","com.coinpulse.selenium.regression.MarketsSortingTest","com.coinpulse.selenium.regression.MarketsSortingTest","listsCoinsByRankAscendingByDefaultWithBtcFirst"
"","1535","expandsAndCollapsesAnFaqAnswer()","","Fri Sep 25 10:56:17 UTC 2026","passed","Fri Sep 25 10:56:19 UTC 2026","","com.coinpulse.selenium.regression.CompareResultsTest","com.coinpulse.selenium.regression.CompareResultsTest","expandsAndCollapsesAnFaqAnswer"
"","1973","apiDeletedCoinDisappearsFromTheMarketsTable()","","Fri Sep 25 10:55:25 UTC 2026","passed","Fri Sep 25 10:55:27 UTC 2026","","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","apiDeletedCoinDisappearsFromTheMarketsTable"
"","1184","rendersTheRequestGroupsAndEmptyResponseState()","","Fri Sep 25 10:55:22 UTC 2026","passed","Fri Sep 25 10:55:23 UTC 2026","","com.coinpulse.selenium.smoke.ApiExplorerSmokeTest","com.coinpulse.selenium.smoke.ApiExplorerSmokeTest","rendersTheRequestGroupsAndEmptyResponseState"
"","2008","recordsASellTradeAndShowsASuccessMessage()","","Fri Sep 25 10:56:00 UTC 2026","passed","Fri Sep 25 10:56:02 UTC 2026","","com.coinpulse.selenium.regression.TradeExecuteTest","com.coinpulse.selenium.regression.TradeExecuteTest","recordsASellTradeAndShowsASuccessMessage"
"","1259","rendersTheDynamicElementsShell()","","Fri Sep 25 10:55:19 UTC 2026","passed","Fri Sep 25 10:55:20 UTC 2026","","com.coinpulse.selenium.smoke.DynamicSmokeTest","com.coinpulse.selenium.smoke.DynamicSmokeTest","rendersTheDynamicElementsShell"
"","1248","rendersThePortfolioDashboardShell()","","Fri Sep 25 10:55:20 UTC 2026","passed","Fri Sep 25 10:55:22 UTC 2026","","com.coinpulse.selenium.smoke.DashboardSmokeTest","com.coinpulse.selenium.smoke.DashboardSmokeTest","rendersThePortfolioDashboardShell"
"","932","rendersAnInteractiveLoginForm()","","Fri Sep 25 10:55:16 UTC 2026","passed","Fri Sep 25 10:55:17 UTC 2026","","com.coinpulse.selenium.smoke.LoginSmokeTest","com.coinpulse.selenium.smoke.LoginSmokeTest","rendersAnInteractiveLoginForm"
"","1265","opensAndCancelsTheDeleteConfirmationWithoutRemovingTheCoin()","","Fri Sep 25 10:56:21 UTC 2026","passed","Fri Sep 25 10:56:23 UTC 2026","","com.coinpulse.selenium.regression.MarketsAdminTest","com.coinpulse.selenium.regression.MarketsAdminTest","opensAndCancelsTheDeleteConfirmationWithoutRemovingTheCoin"
"","1153","redirectsAStandardUserAwayFromTheNewCoinForm()","","Fri Sep 25 10:55:47 UTC 2026","passed","Fri Sep 25 10:55:48 UTC 2026","","com.coinpulse.selenium.regression.CoinFormAdminGuardTest","com.coinpulse.selenium.regression.CoinFormAdminGuardTest","redirectsAStandardUserAwayFromTheNewCoinForm"
"","1222","loadsAnExistingCoinIntoTheEditForm()","","Fri Sep 25 10:55:36 UTC 2026","passed","Fri Sep 25 10:55:37 UTC 2026","","com.coinpulse.selenium.regression.CoinFormEditTest","com.coinpulse.selenium.regression.CoinFormEditTest","loadsAnExistingCoinIntoTheEditForm"
