"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2399","togglesTheSortDirectionWhenTheSameColumnIsClickedTwice()","","Fri Sep 25 10:55:54 UTC 2026","passed","Fri Sep 25 10:55:57 UTC 2026","","com.coinpulse.selenium.regression.MarketsSortingTest","com.coinpulse.selenium.regression.MarketsSortingTest","togglesTheSortDirectionWhenTheSameColumnIsClickedTwice"
"","1127","showsTheSeededTransactionAndWatchlistCounts()","","Fri Sep 25 10:55:53 UTC 2026","passed","Fri Sep 25 10:55:54 UTC 2026","","com.coinpulse.selenium.regression.DashboardPortfolioTest","com.coinpulse.selenium.regression.DashboardPortfolioTest","showsTheSeededTransactionAndWatchlistCounts"
"","1620","rejectsAValidUserWithAWrongPassword()","","Fri Sep 25 10:56:05 UTC 2026","passed","Fri Sep 25 10:56:07 UTC 2026","","com.coinpulse.selenium.regression.LoginErrorsTest","com.coinpulse.selenium.regression.LoginErrorsTest","rejectsAValidUserWithAWrongPassword"
"","1811","removesAndReAddsACoinToTheWatchlist()","","Fri Sep 25 10:55:44 UTC 2026","passed","Fri Sep 25 10:55:46 UTC 2026","","com.coinpulse.selenium.regression.MarketsWatchlistTest","com.coinpulse.selenium.regression.MarketsWatchlistTest","removesAndReAddsACoinToTheWatchlist"
"","1632","explainsThatALockedAccountCannotSignIn()","","Fri Sep 25 10:56:07 UTC 2026","passed","Fri Sep 25 10:56:08 UTC 2026","","com.coinpulse.selenium.regression.LoginErrorsTest","com.coinpulse.selenium.regression.LoginErrorsTest","explainsThatALockedAccountCannotSignIn"
"","1462","rendersOnePriceChartPerComparedCoinOnTheChartTab()","","Fri Sep 25 10:56:19 UTC 2026","passed","Fri Sep 25 10:56:20 UTC 2026","","com.coinpulse.selenium.regression.CompareResultsTest","com.coinpulse.selenium.regression.CompareResultsTest","rendersOnePriceChartPerComparedCoinOnTheChartTab"
"","1869","signsInWithValidCredentialsAndLandsOnTheDashboard()","","Fri Sep 25 10:55:14 UTC 2026","passed","Fri Sep 25 10:55:16 UTC 2026","","com.coinpulse.selenium.smoke.LoginSmokeTest","com.coinpulse.selenium.smoke.LoginSmokeTest","signsInWithValidCredentialsAndLandsOnTheDashboard"
"","993","requiresBothFieldsWhenTheFormIsSubmittedEmpty()","","Fri Sep 25 10:55:58 UTC 2026","passed","Fri Sep 25 10:55:59 UTC 2026","","com.coinpulse.selenium.regression.LoginValidationTest","com.coinpulse.selenium.regression.LoginValidationTest","requiresBothFieldsWhenTheFormIsSubmittedEmpty"
"","1737","filtersTheTableToACoinMatchedBySymbol()","","Fri Sep 25 10:55:50 UTC 2026","passed","Fri Sep 25 10:55:52 UTC 2026","","com.coinpulse.selenium.regression.MarketsSearchTest","com.coinpulse.selenium.regression.MarketsSearchTest","filtersTheTableToACoinMatchedBySymbol"
"","1165","showsASeededCoinAsStarred()","","Fri Sep 25 10:55:46 UTC 2026","passed","Fri Sep 25 10:55:47 UTC 2026","","com.coinpulse.selenium.regression.MarketsWatchlistTest","com.coinpulse.selenium.regression.MarketsWatchlistTest","showsASeededCoinAsStarred"
"","1597","rejectsAnUnknownUsername()","","Fri Sep 25 10:56:08 UTC 2026","passed","Fri Sep 25 10:56:10 UTC 2026","","com.coinpulse.selenium.regression.LoginErrorsTest","com.coinpulse.selenium.regression.LoginErrorsTest","rejectsAnUnknownUsername"
"","1276","rendersTheUploadAndDownloadCards()","","Fri Sep 25 10:55:18 UTC 2026","passed","Fri Sep 25 10:55:19 UTC 2026","","com.coinpulse.selenium.smoke.FilesSmokeTest","com.coinpulse.selenium.smoke.FilesSmokeTest","rendersTheUploadAndDownloadCards"
"","1530","listsDeterministicHeadlinesOnTheNewsTab()","","Fri Sep 25 10:56:16 UTC 2026","passed","Fri Sep 25 10:56:17 UTC 2026","","com.coinpulse.selenium.regression.CompareResultsTest","com.coinpulse.selenium.regression.CompareResultsTest","listsDeterministicHeadlinesOnTheNewsTab"
"","1200","rendersThePriceChartAndTopMoversFromSeededData()","","Fri Sep 25 10:55:52 UTC 2026","passed","Fri Sep 25 10:55:53 UTC 2026","","com.coinpulse.selenium.regression.DashboardPortfolioTest","com.coinpulse.selenium.regression.DashboardPortfolioTest","rendersThePriceChartAndTopMoversFromSeededData"
"","1168","showsAdminControlsForAnAdminUser()","","Fri Sep 25 10:56:23 UTC 2026","passed","Fri Sep 25 10:56:24 UTC 2026","","com.coinpulse.selenium.regression.MarketsAdminTest","com.coinpulse.selenium.regression.MarketsAdminTest","showsAdminControlsForAnAdminUser"
"","1988","recordsABuyTradeAndShowsASuccessMessage()","","Fri Sep 25 10:56:02 UTC 2026","passed","Fri Sep 25 10:56:04 UTC 2026","","com.coinpulse.selenium.regression.TradeExecuteTest","com.coinpulse.selenium.regression.TradeExecuteTest","recordsABuyTradeAndShowsASuccessMessage"
"","1056","requiresOnlyTheMissingPasswordWhenTheUsernameIsFilled()","","Fri Sep 25 10:55:59 UTC 2026","passed","Fri Sep 25 10:56:00 UTC 2026","","com.coinpulse.selenium.regression.LoginValidationTest","com.coinpulse.selenium.regression.LoginValidationTest","requiresOnlyTheMissingPasswordWhenTheUsernameIsFilled"
"","1385","apiCreatedCoinAppearsInTheMarketsTable()","","Fri Sep 25 10:55:27 UTC 2026","passed","Fri Sep 25 10:55:28 UTC 2026","","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","com.coinpulse.selenium.hybrid.HybridCoinApiUiTest","apiCreatedCoinAppearsInTheMarketsTable"
